player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
532,19,Sandro Ramírez,19.0,29,175,Spain,"['Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",31,2048,9,3,6,0,1.7,74.1,0.4,2,6.68,0.9,0.5,0.8,0.0,0.6,0.5,0.0,0,0.9,1.4,0.2,0.9,1.6,17.5,0.9,0.5,0.0,"['Long shots', 'Direct free-kicks', 'Taking set-pieces']",[],"['Likes to shoot from distance', 'Likes to cross', 'Likes to cut inside', 'Does not dive into tackles']",sandro ramírez,1679742361-2876,UD Las Palmas,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€2 million
540,19,Oliver McBurnie,16.0,28,188,Scotland,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Forward']",33,1829,3,6,3,0,1.0,65.9,2.6,0,6.55,0.5,0.2,0.9,0.1,0.7,0.2,0.2,0,0.7,0.6,0.3,0.6,1.2,12.3,0.0,0.1,0.0,"['Aerial Duels', 'Key passes']","['Finishing', 'Discipline']","['Likes to do layoffs', 'Likes to do flick ons', 'Likes to play short passes']",oliver mcburnie,1679742361-2474,Sheffield United,Other League,Hypervenom Phantom III DF,Synthetic / Flyknit,Nike,,Agility,Attack,Michael Olise,€5 million
541,19,Stefan Bajcetic,21.0,20,185,Spain,['Defensive Midfielder C'],32,1179,1,0,7,0,0.3,76.6,0.9,0,6.41,1.7,0.9,1.3,0.1,1.5,0.9,0.2,0,0.6,0.9,0.0,0.4,1.2,28.0,0.0,1.8,0.0,['Aerial Duels'],"['Passing', 'Tackling']","['Plays the ball off the ground often', 'Likes to shoot from distance', 'Likes to play long balls', 'Likes to tackle']",stefan bajcetic,1679742361-4073,Liverpool,Premier League,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,€13 million
542,19,Javi Muñoz,5.0,30,175,Spain,['Midfielder Centre'],35,2590,1,3,6,0,0.7,79.8,0.4,1,6.51,1.3,0.9,0.9,0.1,0.9,0.9,0.1,0,0.8,0.7,0.1,0.4,0.8,30.7,0.5,1.7,0.1,[],"['Aerial Duels', 'Passing', 'Tackling']","['Likes to play short passes', 'Does not dive into tackles']",javi muñoz,1679742361-3167,SD Eibar,Other League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€1 million
543,19,Scott McKenna,15.0,28,189,Scotland,['Defender Centre'],36,2734,0,0,6,1,0.3,87.6,2.9,0,6.47,0.7,0.3,0.5,0.5,5.0,0.1,0.9,1,0.1,0.3,0.0,0.1,0.3,48.1,0.0,1.6,0.0,"['Aerial Duels', 'Blocking the ball']",['Tackling'],"['Likes to play short passes', 'Clears the ball out of defence often', 'Does not dive into tackles']",scott mckenna,1679742361-3693,Nottingham Forest,Premier League,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,€10 million
544,19,Adnan Januzaj,24.0,30,186,Belgium,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right']",17,546,2,1,4,0,0.9,79.4,0.2,1,6.5,0.6,0.1,0.2,0.0,0.1,0.2,0.0,0,0.8,1.2,0.0,0.5,1.6,14.0,0.8,0.8,0.2,"['Key passes', 'Dribbling', 'Long shots', 'Finishing', 'Through balls']","['Discipline', 'Passing', 'Defensive contribution']","['Likes to play long balls', 'Likes to dribble', 'Plays the ball off the ground often', 'Indirect set-piece threat', 'Gets fouled often', 'Does not dive into tackles']",adnan januzaj,1679742361-2916,İstanbul Başakşehir,Other League,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Lucent,Speed,Attack,Cristiano Ronaldo,€7 million
546,19,Andy Pelmard,6.0,25,181,France,"['Defender Centre', 'Defender Right']",8,332,0,0,2,0,0.1,85.3,0.1,0,6.34,1.6,0.3,0.6,0.1,3.0,0.1,0.1,0,0.1,0.4,0.0,0.0,0.4,17.7,0.0,1.1,0.0,['Holding on to the ball'],"['Aerial Duels', 'Crossing']",['Likes to play short passes'],andy pelmard,1679742361-3455,Basel,Other League,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€4 million
547,19,Daley Sinkgraven,22.0,29,179,Netherlands,"['Defender Left', 'Midfielder Centre', 'Midfielder Left']",4,168,0,0,1,0,0.0,83.2,0.3,0,6.41,2.5,0.5,1.0,0.3,1.8,0.5,0.3,0,0.3,0.5,0.0,0.3,0.3,26.3,0.0,0.5,0.0,"['Passing', 'Concentration']","['Aerial Duels', 'Crossing']",['Likes to play long balls'],daley sinkgraven,1679742361-399,Bayer 04 Leverkusen,Bundesliga,Mercurial Vapor 14,Flyknit,Nike,Black x Prism,Speed,Attack,Cristiano Ronaldo,€3 million
548,19,José Campaña,8.0,31,179,Spain,"['Midfielder Centre', 'Midfielder Left', 'Midfielder Right']",26,1198,0,3,5,0,0.2,87.1,0.7,0,6.41,0.8,0.7,0.3,0.0,0.7,0.3,0.0,0,0.5,0.8,0.0,0.6,0.7,30.5,0.3,2.0,0.0,"['Passing', 'Dribbling', 'Ball interception', 'Concentration']",['Discipline'],['Likes to shoot from distance'],josé campaña,1679742361-2834,Levante UD,Other League,Tiempo Legend 9,Kangaroo Leather,Nike,Shadow,Modern C,Defence,Virgil van Dijk,€4 million
554,19,Jaime Mata,17.0,36,185,Spain,"['Attacking Midfielder Left', 'Forward']",30,559,0,0,9,0,0.5,70.8,0.8,0,6.11,0.3,0.1,0.6,0.0,0.3,0.2,0.0,0,0.1,0.4,0.4,0.1,0.5,5.1,0.0,0.2,0.0,"['Aerial Duels', 'Headed attempts', 'Defensive contribution']","['Offside awareness', 'Passing', 'Crossing']","['Likes to do layoffs', 'Commits fouls often']",jaime mata,1679742361-1453,Getafe CF,La Liga,Ultra Ultimate,ULTRAWEAVE,Puma,Supercharge,Speed,Attack,Antoine Griezmann,€2 million
